City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
Cabo San Lucas,22.8909,-109.9124,95.61,60,20,10.36,MX,few clouds,2022-08-11 19:42:18
Grindavik,63.8424,-22.4338,51.75,87,75,12.66,IS,broken clouds,2022-08-11 19:49:10
Mae Hong Son,19.3003,97.9685,73.54,100,100,2.33,TH,light rain,2022-08-11 19:49:11
Bubaque,11.2833,-15.8333,80.6,82,100,15.77,GW,light rain,2022-08-11 19:49:14
Bredasdorp,-34.5322,20.0403,52.79,86,100,5.68,ZA,overcast clouds,2022-08-11 19:42:11
Dingle,10.9995,122.6711,75.74,89,75,1.3,PH,broken clouds,2022-08-11 19:49:16
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Mahebourg,-20.4081,57.7,68.29,64,20,13.8,MU,few clouds,2022-08-11 19:42:04
Taoudenni,22.6783,-3.9836,105.39,9,0,4.14,ML,clear sky,2022-08-11 19:49:20
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:42:21
East London,-33.0153,27.9116,65.25,81,100,5.84,ZA,overcast clouds,2022-08-11 19:48:36
Thinadhoo,0.5333,72.9333,81.14,77,5,5.14,MV,clear sky,2022-08-11 19:49:24
Kaitangata,-46.2817,169.8464,31.35,90,10,6.2,NZ,clear sky,2022-08-11 19:42:29
Vaini,-21.2,-175.2,73.56,83,40,11.5,TO,scattered clouds,2022-08-11 19:46:52
Airai,-8.9266,125.4092,56.88,93,61,3.13,TL,broken clouds,2022-08-11 19:49:29
Lindi,-10.0,39.7167,67.26,87,18,4.21,TZ,few clouds,2022-08-11 19:49:30
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:46:27
Erdenet,49.0333,104.0833,53.56,87,39,0.87,MN,scattered clouds,2022-08-11 19:49:33
Sur,22.5667,59.5289,89.56,59,100,7.83,OM,overcast clouds,2022-08-11 19:49:34
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:47:45
Bluff,-46.6,168.3333,38.57,85,98,10.65,NZ,overcast clouds,2022-08-11 19:49:37
Yumen,40.2833,97.2,80.01,37,0,13.73,CN,clear sky,2022-08-11 19:48:40
Akhtubinsk,48.2795,46.1722,83.66,38,62,20.49,RU,broken clouds,2022-08-11 19:49:40
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Torbay,47.6666,-52.7314,62.28,88,100,8.05,CA,light intensity drizzle,2022-08-11 19:46:56
Hithadhoo,-0.6,73.0833,81.64,75,3,7.49,MV,clear sky,2022-08-11 19:49:46
Iqaluit,63.7506,-68.5145,53.33,62,40,6.91,CA,scattered clouds,2022-08-11 19:49:48
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:42:21
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Pasni,25.2631,63.471,82.17,84,100,10.2,PK,overcast clouds,2022-08-11 19:49:52
Aksarka,66.5606,67.7975,56.55,85,100,12.17,RU,overcast clouds,2022-08-11 19:49:53
Rosarito,32.3333,-117.0333,102.42,52,0,14.47,MX,clear sky,2022-08-11 19:49:54
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:42:21
The Pas,53.8251,-101.2541,77.02,50,75,13.8,CA,broken clouds,2022-08-11 19:49:58
Muisne,0.6,-80.0333,76.15,79,91,10.09,EC,overcast clouds,2022-08-11 19:50:00
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:46:27
Sandpoint,48.2766,-116.5533,91.15,48,0,1.99,US,clear sky,2022-08-11 19:50:02
Clyde River,70.4692,-68.5914,39.43,93,100,10.36,CA,light rain,2022-08-11 19:47:34
Ribeira Grande,38.5167,-28.7,77.4,73,40,13.8,PT,scattered clouds,2022-08-11 19:47:22
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Homer,59.6425,-151.5483,60.69,85,100,13.0,US,light rain,2022-08-11 19:50:07
Tautira,-17.7333,-149.15,77.65,77,13,15.3,PF,few clouds,2022-08-11 19:50:08
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Bud,39.447,-86.1758,87.67,67,76,8.28,US,broken clouds,2022-08-11 19:50:11
Yellowknife,62.456,-114.3525,63.12,39,20,13.8,CA,few clouds,2022-08-11 19:45:17
San Cristobal,7.7669,-72.225,89.78,44,65,8.7,VE,broken clouds,2022-08-11 19:41:56
Nyurba,63.2842,118.3319,59.79,78,100,2.17,RU,overcast clouds,2022-08-11 19:50:15
Beringovskiy,63.05,179.3167,52.68,84,100,16.15,RU,overcast clouds,2022-08-11 19:50:16
Moradabad,28.8333,78.7833,80.98,70,0,5.91,IN,clear sky,2022-08-11 19:46:38
Maldonado,-34.6667,-54.9167,63.23,66,0,7.63,UY,clear sky,2022-08-11 19:50:19
La Palma,33.8464,-118.0467,102.49,46,20,5.99,US,few clouds,2022-08-11 19:50:20
Hurghada,27.2574,33.8129,93.24,24,0,11.5,EG,clear sky,2022-08-11 19:50:22
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:46:27
Labuhan,-6.8844,112.2051,77.31,88,100,6.17,ID,overcast clouds,2022-08-11 19:50:25
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:46:27
Talnakh,69.4865,88.3972,49.17,68,90,4.05,RU,overcast clouds,2022-08-11 19:48:10
Jamestown,42.097,-79.2353,76.59,46,75,10.36,US,broken clouds,2022-08-11 19:48:42
Nikolskoye,59.7035,30.7861,67.89,68,100,7.52,RU,overcast clouds,2022-08-11 19:48:31
Lagoa,39.05,-27.9833,73.85,81,100,13.67,PT,overcast clouds,2022-08-11 19:50:32
Kapaa,22.0752,-159.319,81.12,72,20,16.11,US,few clouds,2022-08-11 19:42:20
Kapaa,22.0752,-159.319,81.12,72,20,16.11,US,few clouds,2022-08-11 19:42:20
East London,-33.0153,27.9116,65.25,81,100,5.84,ZA,overcast clouds,2022-08-11 19:48:36
Chuy,-33.6971,-53.4616,57.29,78,7,5.39,UY,clear sky,2022-08-11 19:50:37
Vardo,70.3705,31.1107,53.58,87,0,10.36,NO,clear sky,2022-08-11 19:50:38
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:46:27
Port Alfred,-33.5906,26.891,62.82,83,99,7.45,ZA,overcast clouds,2022-08-11 19:47:09
Tuktoyaktuk,69.4541,-133.0374,53.6,82,100,20.71,CA,light rain,2022-08-11 19:47:34
Tommot,58.9564,126.2925,56.03,99,100,1.63,RU,light rain,2022-08-11 19:50:44
Dikson,73.5069,80.5464,44.49,94,99,20.38,RU,overcast clouds,2022-08-11 19:42:01
Hermanus,-34.4187,19.2345,54.81,77,100,13.11,ZA,overcast clouds,2022-08-11 19:49:02
Hermanus,-34.4187,19.2345,54.81,77,100,13.11,ZA,overcast clouds,2022-08-11 19:49:02
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Barrow,71.2906,-156.7887,44.62,87,100,20.71,US,mist,2022-08-11 19:50:03
Bredasdorp,-34.5322,20.0403,52.79,86,100,5.68,ZA,overcast clouds,2022-08-11 19:42:11
Taltal,-25.4,-70.4833,59.18,73,99,4.38,CL,overcast clouds,2022-08-11 19:46:10
Mugur-Aksy,50.35,90.5,49.3,79,35,6.17,RU,scattered clouds,2022-08-11 19:50:54
Saint George,37.1041,-113.5841,93.43,35,0,1.99,US,clear sky,2022-08-11 19:50:55
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:47:45
Thompson,55.7435,-97.8558,77.16,47,20,9.22,CA,few clouds,2022-08-11 19:50:54
Avarua,-21.2078,-159.775,75.25,83,20,12.66,CK,few clouds,2022-08-11 19:50:59
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Severo-Kurilsk,50.6789,156.125,55.99,96,95,13.2,RU,overcast clouds,2022-08-11 19:47:18
San Cristobal,7.7669,-72.225,89.78,44,65,8.7,VE,broken clouds,2022-08-11 19:41:56
Alghero,40.5589,8.3181,82.49,61,0,4.61,IT,clear sky,2022-08-11 19:51:03
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Dikson,73.5069,80.5464,44.49,94,99,20.38,RU,overcast clouds,2022-08-11 19:42:01
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Cabo San Lucas,22.8909,-109.9124,95.61,60,20,10.36,MX,few clouds,2022-08-11 19:42:18
Hobart,-42.8794,147.3294,44.06,90,86,5.75,AU,overcast clouds,2022-08-11 19:47:20
Kavieng,-2.5744,150.7967,81.12,78,96,12.15,PG,overcast clouds,2022-08-11 19:51:10
Sambava,-14.2667,50.1667,69.98,75,56,14.43,MG,light rain,2022-08-11 19:51:12
Svetlyy,54.675,20.1347,62.96,71,0,7.94,RU,clear sky,2022-08-11 19:51:13
Asfi,32.2994,-9.2372,71.56,78,0,16.89,MA,clear sky,2022-08-11 19:48:56
Manggar,-2.8833,108.2667,81.37,82,92,9.04,ID,overcast clouds,2022-08-11 19:48:44
Hilo,19.7297,-155.09,89.28,89,100,5.75,US,overcast clouds,2022-08-11 19:42:10
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Udankudi,8.4333,78.0167,81.77,69,100,9.71,IN,overcast clouds,2022-08-11 19:51:20
Neryungri,56.6709,124.6491,52.84,96,100,5.37,RU,light rain,2022-08-11 19:51:22
Port Blair,11.6667,92.75,81.36,81,100,14.27,IN,overcast clouds,2022-08-11 19:51:23
Norsup,-16.0667,167.3833,72.68,67,46,13.53,VU,scattered clouds,2022-08-11 19:51:25
Bethel,41.3712,-73.414,90.63,45,0,3.44,US,clear sky,2022-08-11 19:51:26
Comodoro Rivadavia,-45.8667,-67.5,60.66,36,40,16.11,AR,scattered clouds,2022-08-11 19:51:29
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Codrington,-38.2667,141.9667,46.22,83,100,7.63,AU,overcast clouds,2022-08-11 19:51:31
Hobart,-42.8794,147.3294,44.06,90,86,5.75,AU,overcast clouds,2022-08-11 19:47:20
Sao Joao Da Barra,-21.6403,-41.0511,78.89,55,98,25.61,BR,overcast clouds,2022-08-11 19:51:34
Longyearbyen,78.2186,15.6401,46.24,76,75,6.91,SJ,broken clouds,2022-08-11 19:51:36
New Norfolk,-42.7826,147.0587,43.72,81,96,0.89,AU,overcast clouds,2022-08-11 19:47:35
Lompoc,34.6391,-120.4579,78.94,74,40,14.97,US,mist,2022-08-11 19:47:11
Hilo,19.7297,-155.09,89.28,89,100,5.75,US,overcast clouds,2022-08-11 19:42:10
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Kapaa,22.0752,-159.319,81.12,72,20,16.11,US,few clouds,2022-08-11 19:42:20
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Bluff,-46.6,168.3333,38.57,85,98,10.65,NZ,overcast clouds,2022-08-11 19:49:37
Norman Wells,65.282,-126.8329,62.64,45,75,4.61,CA,broken clouds,2022-08-11 19:51:45
Bambous Virieux,-20.3428,57.7575,68.25,64,20,13.8,MU,light rain,2022-08-11 19:42:31
Hobart,-42.8794,147.3294,44.06,90,86,5.75,AU,overcast clouds,2022-08-11 19:47:20
Carnarvon,-24.8667,113.6333,59.7,34,0,15.99,AU,clear sky,2022-08-11 19:47:35
Netishyn,50.34,26.6417,61.45,91,61,6.04,UA,light rain,2022-08-11 19:51:52
Qaanaaq,77.484,-69.3632,39.07,71,97,7.07,GL,overcast clouds,2022-08-11 19:42:07
Hithadhoo,-0.6,73.0833,81.64,75,3,7.49,MV,clear sky,2022-08-11 19:49:46
Puerto Maldonado,-12.6,-69.1833,81.0,47,0,3.44,PE,clear sky,2022-08-11 19:51:56
Khatanga,71.9667,102.5,44.11,66,100,6.26,RU,overcast clouds,2022-08-11 19:51:57
Qaanaaq,77.484,-69.3632,39.07,71,97,7.07,GL,overcast clouds,2022-08-11 19:42:07
Saint George,37.1041,-113.5841,93.43,35,0,1.99,US,clear sky,2022-08-11 19:50:55
Chase,50.8165,-119.6857,89.08,36,0,1.43,CA,clear sky,2022-08-11 19:49:27
Kapaa,22.0752,-159.319,81.12,72,20,16.11,US,few clouds,2022-08-11 19:42:20
Ostrovnoy,68.0531,39.5131,53.82,88,5,8.41,RU,clear sky,2022-08-11 19:52:05
Butaritari,3.0707,172.7902,81.86,74,99,12.19,KI,overcast clouds,2022-08-11 19:52:07
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:42:17
Khasan,42.4308,130.6434,65.75,84,30,5.32,RU,scattered clouds,2022-08-11 19:52:09
Butaritari,3.0707,172.7902,81.86,74,99,12.19,KI,overcast clouds,2022-08-11 19:52:07
Vilyuysk,63.7553,121.6247,59.59,88,100,4.61,RU,overcast clouds,2022-08-11 19:52:12
Bredasdorp,-34.5322,20.0403,52.79,86,100,5.68,ZA,overcast clouds,2022-08-11 19:52:13
Bluff,-46.6,168.3333,38.57,85,98,10.65,NZ,overcast clouds,2022-08-11 19:49:37
Trelew,-43.249,-65.3051,62.53,28,20,8.59,AR,few clouds,2022-08-11 19:52:16
Narsaq,60.9167,-46.05,59.22,76,12,4.76,GL,few clouds,2022-08-11 19:47:25
Kapoeta,4.7717,33.5903,68.32,91,100,6.82,SS,moderate rain,2022-08-11 19:52:20
Chokurdakh,70.6333,147.9167,49.68,70,100,8.3,RU,overcast clouds,2022-08-11 19:52:21
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Sal Rei,16.1833,-22.9167,80.8,78,75,17.27,CV,broken clouds,2022-08-11 19:52:24
Ancud,-41.8697,-73.8203,48.49,91,100,19.75,CL,moderate rain,2022-08-11 19:50:35
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Hobart,-42.8794,147.3294,44.06,90,86,5.75,AU,overcast clouds,2022-08-11 19:47:20
Alofi,-19.0595,-169.9187,76.89,83,75,8.05,NU,broken clouds,2022-08-11 19:52:29
Provideniya,64.3833,-173.3,50.49,91,100,6.06,RU,overcast clouds,2022-08-11 19:52:30
Kologriv,58.8275,44.3178,56.03,81,98,4.97,RU,overcast clouds,2022-08-11 19:52:32
Coihaique,-45.5752,-72.0662,48.81,61,75,6.91,CL,broken clouds,2022-08-11 19:52:34
Bredasdorp,-34.5322,20.0403,52.79,86,100,5.68,ZA,overcast clouds,2022-08-11 19:52:13
Broome,42.2506,-75.833,84.97,44,0,11.5,US,clear sky,2022-08-11 19:52:37
Elesbao Veloso,-6.2019,-42.1403,95.85,20,41,2.08,BR,scattered clouds,2022-08-11 19:52:38
Khash,28.2211,61.2158,76.26,17,1,5.7,IR,clear sky,2022-08-11 19:52:40
Znamenka,52.4167,41.4311,70.12,71,13,11.3,RU,few clouds,2022-08-11 19:52:41
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Cherskiy,68.75,161.3,60.51,61,95,6.46,RU,overcast clouds,2022-08-11 19:47:45
Stephenville,32.2207,-98.2023,98.92,30,40,6.91,US,scattered clouds,2022-08-11 19:52:46
Butaritari,3.0707,172.7902,81.86,74,99,12.19,KI,overcast clouds,2022-08-11 19:52:07
Bluff,-46.6,168.3333,38.57,85,98,10.65,NZ,overcast clouds,2022-08-11 19:49:37
New Norfolk,-42.7826,147.0587,43.72,81,96,0.89,AU,overcast clouds,2022-08-11 19:47:35
Axim,4.8699,-2.2405,75.02,85,100,6.35,GH,overcast clouds,2022-08-11 19:52:51
Bethel,41.3712,-73.414,90.63,45,0,3.44,US,clear sky,2022-08-11 19:51:26
Hithadhoo,-0.6,73.0833,81.64,75,3,7.49,MV,clear sky,2022-08-11 19:49:46
Hithadhoo,-0.6,73.0833,81.64,75,3,7.49,MV,clear sky,2022-08-11 19:49:46
Bredasdorp,-34.5322,20.0403,52.79,86,100,5.68,ZA,overcast clouds,2022-08-11 19:52:13
Tiksi,71.6872,128.8694,40.28,97,100,12.39,RU,overcast clouds,2022-08-11 19:52:58
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Norman Wells,65.282,-126.8329,62.64,45,75,4.61,CA,broken clouds,2022-08-11 19:51:45
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:46:27
Qaanaaq,77.484,-69.3632,39.07,71,97,7.07,GL,overcast clouds,2022-08-11 19:53:04
Thompson,55.7435,-97.8558,77.16,47,20,9.22,CA,few clouds,2022-08-11 19:50:54
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:46:27
Carnarvon,-24.8667,113.6333,59.7,34,0,15.99,AU,clear sky,2022-08-11 19:47:35
Narsaq,60.9167,-46.05,59.22,76,12,4.76,GL,few clouds,2022-08-11 19:47:25
Hobart,-42.8794,147.3294,44.06,90,86,5.75,AU,overcast clouds,2022-08-11 19:47:20
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:52:27
Ferrol,43.4832,-8.2369,70.27,87,10,4.25,ES,clear sky,2022-08-11 19:53:13
Fernley,39.608,-119.2518,92.57,24,0,3.42,US,clear sky,2022-08-11 19:53:16
Port Alfred,-33.5906,26.891,62.82,83,99,7.45,ZA,overcast clouds,2022-08-11 19:47:09
Whitianga,-36.8333,175.7,41.79,80,5,6.6,NZ,clear sky,2022-08-11 19:53:18
Yellowknife,62.456,-114.3525,63.12,39,20,13.8,CA,few clouds,2022-08-11 19:45:17
Tasiilaq,65.6145,-37.6368,38.23,82,29,2.64,GL,scattered clouds,2022-08-11 19:53:21
Banjar,-8.19,114.9675,75.9,92,54,3.36,ID,broken clouds,2022-08-11 19:53:22
Thompson,55.7435,-97.8558,77.16,47,20,9.22,CA,few clouds,2022-08-11 19:50:54
Hasaki,35.7333,140.8333,81.28,86,17,24.87,JP,few clouds,2022-08-11 19:53:25
